rank,criterion,interval,start_s,end_s,duration_s
1,strict-full-cylinder,1,2.4967876895102035,7.039667636738165,4.542879947227961
1,center-line,1,2.4967856396160064,7.069459401037405,4.572673761421399
2,strict-full-cylinder,1,2.4970307266772784,7.039909738293885,4.542879011616607
2,center-line,1,2.4969851361207436,7.069693814328856,4.572708678208112
3,strict-full-cylinder,1,2.497040916927275,7.039919803210196,4.542878886282921
3,center-line,1,2.496982578360253,7.069703536015504,4.5727209576552506
4,strict-full-cylinder,1,2.497033027986048,7.039909119224549,4.542876091238501
4,center-line,1,2.4969948854719606,7.069694486718138,4.572699601246177
5,strict-full-cylinder,1,2.613942604953287,7.155399311475905,4.541456706522618
5,center-line,1,2.474636059255575,7.181262027075036,4.706625967819461
