uav,missile,sampled_duration_s,physical_feasible,positive_coverage_found,evaluations,success,message,vector
FY1,M1,2.483369477622988,True,True,64,False,Maximum number of iterations has been exceeded.,"[3.1186257911280406, 75.51172383606509, 2.172890579398853, 3.593739942978159]"
FY1,M2,0.0,True,False,64,False,Maximum number of iterations has been exceeded.,"[2.026045734363411, 91.83634511661278, 2.3499907160196756, 2.471643493437983]"
FY1,M3,0.0,True,False,64,False,Maximum number of iterations has been exceeded.,"[4.647496918866743, 72.30444026381909, 1.0111374633941814, 1.216663176125783]"
FY2,M1,3.0,True,True,64,False,Maximum number of iterations has been exceeded.,"[5.392909568220597, 107.47797978963226, 12.61581261394552, 3.902789462195722]"
FY2,M2,2.1874584521660285,True,True,64,False,Maximum number of iterations has been exceeded.,"[4.0969697397341545, 125.89462792382905, 4.048188488905748, 5.514353058928224]"
FY2,M3,2.101191755571877,True,True,64,False,Maximum number of iterations has been exceeded.,"[4.551315147435874, 126.05670797693608, 8.385150897851874, 5.763657346576249]"
FY3,M1,1.733640559795404,True,True,64,False,Maximum number of iterations has been exceeded.,"[1.5571567110134568, 116.91983546910127, 22.153448577038052, 4.362910863166543]"
FY3,M2,1.749867046931282,True,True,64,False,Maximum number of iterations has been exceeded.,"[1.5940557888045632, 136.99708388619368, 21.044890521211325, 2.9552424318573927]"
FY3,M3,1.6911399827468792,True,True,64,False,Maximum number of iterations has been exceeded.,"[1.7691822500949943, 123.77868658425967, 18.985532712717635, 5.073327304535485]"
FY4,M1,4.0,True,True,64,False,Maximum number of iterations has been exceeded.,"[5.323083202624588, 133.85995618263686, 7.45309868687402, 10.606816654475894]"
FY4,M2,2.124916904332053,True,True,64,False,Maximum number of iterations has been exceeded.,"[5.302857917472039, 118.6283022021396, 6.37567572021409, 9.749407375453858]"
FY4,M3,2.266782860446192,True,True,64,False,Maximum number of iterations has been exceeded.,"[4.626236912742735, 130.35312676935095, 6.383484130077097, 11.599733009476711]"
FY5,M1,2.8743853004099407,True,True,64,False,Maximum number of iterations has been exceeded.,"[1.982264395757903, 132.19021293528183, 12.536085731007402, 4.215143668172715]"
FY5,M2,1.8123421182309016,True,True,64,False,Maximum number of iterations has been exceeded.,"[2.4579426230675625, 132.05158946176329, 21.893110265600363, 6.044547616168737]"
FY5,M3,1.9074093975562505,True,True,64,False,Maximum number of iterations has been exceeded.,"[2.3654096932478654, 114.52222435611584, 15.757615975352385, 4.5849746270913645]"
